Date,Open,High,Low,Close,Adj Close**,Volume
"Jun 28, 2019",26606,26638,26522,26600,"26,599.96",499350000
"Jun 27, 2019",26524,26607,26465,26527,"26,526.58",246930000
"Jun 26, 2019",26599,26660,26536,26537,"26,536.82",274340000
"Jun 25, 2019",26732,26752,26528,26548,"26,548.22",282160000
"Jun 24, 2019",26728,26807,26723,26728,"26,727.54",232390000
"Jun 21, 2019",26749,26907,26706,26719,"26,719.13",485560000
"Jun 20, 2019",26665,26799,26540,26753,"26,753.17",278170000
"Jun 19, 2019",26490,26570,26415,26504,"26,504.00",240950000
"Jun 18, 2019",26229,26527,26228,26466,"26,465.54",273490000
"Jun 17, 2019",26109,26166,26050,26113,"26,112.53",199500000
"Jun 14, 2019",26076,26162,25988,26090,"26,089.61",208020000
"Jun 13, 2019",26037,26147,25996,26107,"26,106.77",213400000
"Jun 12, 2019",26040,26082,25959,26005,"26,004.83",223690000
"Jun 11, 2019",26181,26249,25999,26049,"26,048.51",253490000
"Jun 10, 2019",26090,26211,26054,26063,"26,062.68",249280000
"Jun 07, 2019",25769,26073,25769,25984,"25,983.94",263010000
"Jun 06, 2019",25567,25800,25518,25721,"25,720.66",248070000
"Jun 05, 2019",25451,25545,25374,25540,"25,539.57",262660000
"Jun 04, 2019",24963,25344,24963,25332,"25,332.18",281690000
"Jun 03, 2019",24830,24935,24681,24820,"24,819.78",328240000
"May 31, 2019",25046,25046,24810,24815,"24,815.04",292230000
"May 30, 2019",25140,25219,25067,25170,"25,169.88",215240000
"May 29, 2019",25231,25231,24938,25126,"25,126.41",298930000
"May 28, 2019",25617,25718,25342,25348,"25,347.77",358980000
"May 24, 2019",25551,25671,25496,25586,"25,585.69",201370000
"May 23, 2019",25658,25658,25328,25490,"25,490.47",316940000
"May 22, 2019",25818,25878,25755,25777,"25,776.61",241760000
"May 21, 2019",25782,25898,25780,25877,"25,877.33",260870000
"May 20, 2019",25655,25752,25561,25680,"25,679.90",279560000
"May 17, 2019",25720,25949,25658,25764,"25,764.00",283760000
"May 16, 2019",25692,25958,25692,25863,"25,862.68",320960000
"May 15, 2019",25400,25725,25342,25648,"25,648.02",270720000
"May 14, 2019",25384,25689,25384,25532,"25,532.05",291570000
"May 13, 2019",25568,25568,25223,25325,"25,324.99",361240000
"May 10, 2019",25764,26019,25470,25942,"25,942.37",294580000
"May 09, 2019",25879,25885,25517,25828,"25,828.36",334760000
"May 08, 2019",25934,26118,25889,25967,"25,967.33",276420000
"May 07, 2019",26277,26277,25790,25965,"25,965.09",334960000
"May 06, 2019",26161,26476,26034,26438,"26,438.48",283020000
"May 03, 2019",26379,26535,26370,26505,"26,504.95",248900000
"May 02, 2019",26407,26455,26180,26308,"26,307.79",287610000
"May 01, 2019",26639,26689,26426,26430,"26,430.14",303850000
"Apr 30, 2019",26595,26614,26419,26593,"26,592.91",340320000
"Apr 29, 2019",26560,26603,26521,26554,"26,554.39",279450000
"Apr 26, 2019",26455,26544,26393,26543,"26,543.33",317290000
"Apr 25, 2019",26426,26536,26310,26462,"26,462.08",296730000
"Apr 24, 2019",26653,26681,26583,26597,"26,597.05",283370000
"Apr 23, 2019",26514,26696,26504,26656,"26,656.39",311690000
